ACARA_ID,School_Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent_School ID,AGE_ID,Latitude,Longitude
48096,A B Paterson College,Arundel,QLD,4214,Combined,Non-Gov,Open,Major Cities,48096,53495,-27.9277,153.36
44003,A.G.B.U. Alexander Primary School,Duffys Forest,NSW,2084,Primary,Non-Gov,Open,Major Cities,44003,53399,-33.67679,151.18715
44370,Abbotsford Primary School,Abbotsford,VIC,3067,Primary,Gov,Open,Major Cities,44370,48050,-37.8091,144.999
40987,Abbotsford Public School,Abbotsford,NSW,2046,Primary,Gov,Open,Major Cities,40987,44402,-33.8527,151.131
43762,Abbotsleigh,Wahroonga,NSW,2076,Combined,Non-Gov,Open,Major Cities,43762,41302,-33.7199,151.111
52056,Abbotsleigh Junior School,Wahroonga,NSW,2076,Primary,Non-Gov,Open,Major Cities,43762,,-33.7162,151.113
46801,Abercorn State School,Abercorn,QLD,4627,Primary,Gov,Open,Outer Regional,46801,52692,-25.136,151.127
41852,Aberdeen Public School,Aberdeen,NSW,2336,Primary,Gov,Open,Inner Regional,41852,49333,-32.1661,150.888
44727,Aberfeldie Primary School,Essendon,VIC,3040,Primary,Gov,Open,Major Cities,44727,44744,-37.7566,144.896
49360,Aberfoyle Hub Primary School,Aberfoyle Park,SA,5159,Primary,Gov,Open,Major Cities,49360,62782,-35.0781,138.595
49663,Aberfoyle Park High School,Aberfoyle Park,SA,5159,Secondary,Gov,Open,Major Cities,49663,57389,-35.0732,138.595
47089,Abergowrie State School,Abergowrie,QLD,4850,Primary,Gov,Open,Remote,47089,53072,-18.4748,145.884
41853,Abermain Public School,Abermain,NSW,2326,Primary,Gov,Open,Major Cities,41853,49299,-32.8089,151.426
48059,Aboriginal & Islander Independent Community School,Acacia Ridge,QLD,4110,Combined,Non-Gov,Open,Major Cities,48059,45894,-27.5812,153.026
50072,Acacia Hill School,Sadadeen,NT,871,Special,Gov,Open,Remote,50072,56524,-23.7007,133.898
46412,Acacia Ridge State School,Acacia Ridge,QLD,4110,Primary,Gov,Open,Major Cities,46412,51264,-27.5796,153.016
45704,Academy of Mary Immaculate,Fitzroy,VIC,3065,Secondary,Non-Gov,Open,Major Cities,45704,40739,-37.8037,144.974
48264,Adam Road Primary School,South Bunbury,WA,6230,Primary,Gov,Open,Inner Regional,48264,52443,-33.3593,115.634
42715,Adaminaby Public School,Adaminaby,NSW,2629,Primary,Gov,Open,Outer Regional,42715,50425,-35.9933,148.777
41854,Adamstown Public School,Adamstown,NSW,2289,Primary,Gov,Open,Major Cities,41854,49043,-32.9322,151.731
46213,Adass Israel School,Elsternwick,VIC,3185,Combined,Non-Gov,Open,Major Cities,46213,40740,-37.8839,145.008
52146,Adass Israel School - Glen Eira Road Campus,Elsternwick,VIC,3185,Combined,Non-Gov,Open,Major Cities,46213,,-37.8769,144.998
46214,Adass Israel School - Orrong Road Campus,Elsternwick,VIC,3185,Combined,Non-Gov,Open,Major Cities,46213,77561,-37.8835,145.006
52576,Adelaide Botanic High School,Adelaide,SA,5000,Secondary,Gov,Open,Major Cities,52576,86089,-34.91691,138.60659
49559,Adelaide East Education Centre,Campbelltown,SA,5074,Special,Gov,Open,Major Cities,49559,56481,-34.873,138.673
49453,Adelaide High School,Adelaide,SA,5000,Secondary,Gov,Open,Major Cities,49453,46053,-34.9257,138.587
52254,Adelaide International School,Adelaide,SA,5000,Secondary,Non-Gov,Open,Major Cities,52254,,-34.923,138.604
49340,Adelaide North Special School,Munno Para West,SA,5115,Special,Gov,Open,Major Cities,49340,54717,-34.6636,138.68494
