ACARA_ID,School_Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent_School ID,AGE_ID
48096,A B Paterson College,Arundel,QLD,4214,Combined,Non-Gov,Open,Major Cities,48096,53495
44003,A.G.B.U. Alexander Primary School,Duffys Forest,NSW,2084,Primary,Non-Gov,Open,Major Cities,44003,53399
44370,Abbotsford Primary School,Abbotsford,VIC,3067,Primary,Gov,Open,Major Cities,44370,48050
40987,Abbotsford Public School,Abbotsford,NSW,2046,Primary,Gov,Open,Major Cities,40987,44402
43762,Abbotsleigh,Wahroonga,NSW,2076,Combined,Non-Gov,Open,Major Cities,43762,41302
52056,Abbotsleigh Junior School,Wahroonga,NSW,2076,Primary,Non-Gov,Open,Major Cities,43762,
46801,Abercorn State School,Abercorn,QLD,4627,Primary,Gov,Open,Outer Regional,46801,52692
41852,Aberdeen Public School,Aberdeen,NSW,2336,Primary,Gov,Open,Inner Regional,41852,49333
44727,Aberfeldie Primary School,Essendon,VIC,3040,Primary,Gov,Open,Major Cities,44727,44744
49360,Aberfoyle Hub Primary School,Aberfoyle Park,SA,5159,Primary,Gov,Open,Major Cities,49360,62782
49663,Aberfoyle Park High School,Aberfoyle Park,SA,5159,Secondary,Gov,Open,Major Cities,49663,57389
47089,Abergowrie State School,Abergowrie,QLD,4850,Primary,Gov,Open,Remote,47089,53072
41853,Abermain Public School,Abermain,NSW,2326,Primary,Gov,Open,Major Cities,41853,49299
48059,Aboriginal & Islander Independent Community School,Acacia Ridge,QLD,4110,Combined,Non-Gov,Open,Major Cities,48059,45894
50072,Acacia Hill School,Sadadeen,NT,871,Special,Gov,Open,Remote,50072,56524
46412,Acacia Ridge State School,Acacia Ridge,QLD,4110,Primary,Gov,Open,Major Cities,46412,51264
45704,Academy of Mary Immaculate,Fitzroy,VIC,3065,Secondary,Non-Gov,Open,Major Cities,45704,40739
48264,Adam Road Primary School,South Bunbury,WA,6230,Primary,Gov,Open,Inner Regional,48264,52443
42715,Adaminaby Public School,Adaminaby,NSW,2629,Primary,Gov,Open,Outer Regional,42715,50425
41854,Adamstown Public School,Adamstown,NSW,2289,Primary,Gov,Open,Major Cities,41854,49043
46213,Adass Israel School,Elsternwick,VIC,3185,Combined,Non-Gov,Open,Major Cities,46213,40740
52146,Adass Israel School - Glen Eira Road Campus,Elsternwick,VIC,3185,Combined,Non-Gov,Open,Major Cities,46213,
46214,Adass Israel School - Orrong Road Campus,Elsternwick,VIC,3185,Combined,Non-Gov,Open,Major Cities,46213,77561
52576,Adelaide Botanic High School,Adelaide,SA,5000,Secondary,Gov,Open,Major Cities,52576,86089
